Job_Title,Location,Locality,State,Work_Mode,Job_Category,Salary,Salary_Type,Monthly_Salary_INR
Digital and AI Marketing Service Executive,Remote,Remote,Remote,Remote,IT and Technology,"25,000 - 60,000 a month",Monthly,42500.0
Freshers and Experience can apply,"Patan, Gujarat",Patan,Gujarat,On-site,Other,"12,000 - 35,000 a month",Monthly,23500.0
Remote IT Talent Sourcer (Fresher),Remote,Remote,Remote,Remote,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Freelance Contributor,Remote,Remote,Remote,Remote,Other,"2,000 - 5,000 a month",Monthly,3500.0
Freelance Recruiter,Remote,Remote,Remote,Remote,HR and Recruitment,"Up to 42,000 a month",Monthly,19250.0
Customer Service Executive,"Whitefield, Bengaluru, Karnataka",Whitefield,Karnataka,On-site,Customer Service,"2,50,000 - 3,80,000 a year",Annual,315000.0
Process Associates BPO Non-voice,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Developer Trainee,"Cannanore, Kerala",Cannanore,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Flutter Intern,"Padmanabhapuram, Tamil Nadu",Padmanabhapuram,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Delivery Partner/Delivery Executive,"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,Logistics and Delivery,"15,000 - 45,000 a month",Monthly,30000.0
Management Trainee,Remote,Remote,Remote,Remote,IT and Technology,"5,00,000 - 8,00,000 a year",Annual,650000.0
Visa submission officer - Operations,"Puducherry, Puducherry",Puducherry,Puducherry,On-site,Other,"19,000 - 20,000 a month",Monthly,19500.0
Intern/ Trainee Mobile Development,"Delhi, Delhi",Delhi,Delhi,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Drug Safety Associate,"Nashik, Maharashtra",Nashik,Maharashtra,On-site,Other,"28,086.00 - 40,714.29 a month",Monthly,34400.145
MEP Supervisor,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,Management,"15,000 - 30,000 a month",Monthly,22500.0
Accounts Assistant,"Calicut, Kerala",Calicut,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Fresher Mern Stack Developer,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,"10,000 - 13,000 a month",Monthly,11500.0
Data Entry Operator/Computer Operator,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,"14,000 - 16,000 a month",Monthly,15000.0
Delivery Partner/Delivery Executive,"Thrissur, Kerala",Thrissur,Kerala,On-site,Logistics and Delivery,"15,000 - 45,000 a month",Monthly,30000.0
Artificial Intelligence Researcher - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,Other,Not Disclosed,Not Disclosed,19250.0
BCA Fresher,"Bellandur, Bengaluru, Karnataka",Bellandur,Karnataka,On-site,Other,"2,00,000 - 4,00,000 a year",Annual,300000.0
TRAINEE ENGINEER,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
HR Internship,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,HR and Recruitment,"5,000 - 10,000 a month",Monthly,7500.0
Product Intern,Remote,Remote,Remote,Remote,Other,Not Disclosed,Not Disclosed,19250.0
Research Associate,"Kharadi, Pune, Maharashtra",Kharadi,Maharashtra,On-site,Other,"20,000 - 40,000 a month",Monthly,30000.0
Jr. PHP Developer (Fresher with 3-6 months training in PHP),"Mohali, Punjab",Mohali,Punjab,On-site,IT and Technology,"10,000 - 25,000 a month",Monthly,17500.0
Service Engineer - Fresher (ITI or Diploma or Any Degree),"Hyderabad, Telangana",Hyderabad,Telangana,On-site,IT and Technology,"18,000 - 25,000 a month",Monthly,21500.0
MBA Fresher,"Dharwad District, Karnataka",Dharwad District,Karnataka,On-site,Other,"10,000 - 15,000 a month",Monthly,12500.0
Vacancy For Fresher - Nathdwara Rajasthan,"Rajsamand, Rajasthan",Rajsamand,Rajasthan,On-site,Other,"12,000 - 14,000 a month",Monthly,13000.0
Billing Manager,"Ramanathapuram, Tamil Nadu",Ramanathapuram,Tamil Nadu,On-site,Finance and Accounts,"6,500 - 8,500 a month",Monthly,7500.0
SALES & GODOWN WORK,"Thiruvarur, Tamil Nadu",Thiruvarur,Tamil Nadu,On-site,Sales and Marketing,"15,000 - 25,000 a month",Monthly,20000.0
Business Development,Remote,Remote,Remote,Remote,Sales and Marketing,"From 30,000 a month",Monthly,19250.0
Quality Analyst / Software Tester / Manual Tester,Delhi,Delhi,Delhi,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Immediate hiring for freshers,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,Other,"From 10,000 a month",Monthly,19250.0
HR Recruiter (IT/Non IT) Freshers,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,HR and Recruitment,"2,50,000 a year",Annual,250000.0
Sales Executive- Freshers can apply,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,Sales and Marketing,"15,000 - 20,000 a month",Monthly,17500.0
Coding Freshers,India,India,India,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Data Mining (Freshers from Nagpur Location Only),"Nagpur, Maharashtra",Nagpur,Maharashtra,On-site,IT and Technology,"8,500 - 12,000 a month",Monthly,10250.0
Power App Trainee (Freshers),"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,"12,000 - 25,000 a month",Monthly,18500.0
Technical fresher,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,Other,Not Disclosed,Not Disclosed,19250.0
